"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"171","Fun","FUN","Fun","undef","undef","XX","YY","YY","YY","2","254","FUN+N+U","[public] fun name(a...)stmt"
"172","FComplex","F_COMPLEX","Same","Cmplx","Complex","F","F","FC","FC","1","2","CAST+N+I","%	(x,y)"
"173","FFloat","F_FLOAT","Same","Keep","undef","F","F","F","F","1","1","CAST+N+I","%	(a)"
"174","Ge","GE","Same","Eq","Ge","XX","YY","VV","VV","2","2","LGE+N+S","%	a>=b	a.GE.b"
"175","GetNci","GETNCI","GetNci","undef","undef","NID","NID","XX","YY","2","3","OK+U","mds	(nid,item_str,[usage])"
"176","Goto","GOTO","Goto","undef","undef","XX","YY","XX","YY","1","1","GOTO+N+U","%cc GOTO label;"
"177","Gt","GT","Same","Eq","Gt","XX","YY","VV","VV","2","2","LGE+N+S","%	a>b	a.GT.b"
"178","GComplex","G_COMPLEX","Same","Cmplx","Complex","G","G","GC","GC","1","2","CAST+N+I","%	(x,y)"
"179","GFloat","G_FLOAT","Same","Keep","undef","G","G","G","G","1","1","CAST+N+I","%	(a)"
"180","HelpOf","HELP_OF","HelpOf","undef","undef","PARAM","PARAM","T","T","1","1","OK+I","mds	(param)"
"181","Huge","HUGE","Scalar","Keep","Huge","BU","HC","BU","H","1","1","OK","f9	(model)"
"182","HComplex","H_COMPLEX","Same","Cmplx","Complex","HC","HC","HC","HC","1","2","CAST+N+I","%	(x,y)"
"183","HFloat","H_FLOAT","Same","Keep","undef","H","H","H","H","1","1","CAST+N+I","%	(a)"
"184","Iachar","IACHAR","Same","Keep","Ichar","T","T","BU","BU","1","1","OK","f9	(character)"
"185","Iand","IAND","Same","Iand","Iand","BU","O","BU","OU","2","2","IAND+S","f9	i&j iand(i,j)"
"186","IandNot","IAND_NOT","Same","Iand","IandNot","BU","O","BU","OU","2","2","IAND","(i,j)"
"187","Ichar","ICHAR","Same","Keep","Ichar","T","T","BU","BU","1","1","OK","f9	(character)"
"188","IdentOf","IDENT_OF","IdentOf","undef","undef"," ACTION","DISPATCH","T","T","1","1","OK+I","mds	(dispatch)"
"189","If","IF","If","undef","undef","XX","YY","XX","YY","2","3","IF+N","%cc	IF(expr)stmt"
"190","IfError","IF_ERROR","IfError","undef","undef","XX","YY","XX","YY","1","254","OK","(a..) a, if (error) b.."
"191","ImageOf","IMAGE_OF","ImageOf","undef","undef"," FUNCTION","ROUTINE","T","T","1","1","OK+I","mds	(ext_f conglom routine)"
"192","In","IN","Else","undef","undef","XX","YY","XX","YY","1","1","MODIFA+N","IN a	read only"
"193","Inand","INAND","Same","Iand","Inand","BU","O","BU","OU","2","2","IAND","(i,j)"
"194","InandNot","INAND_NOT","Same","Iand","InandNot","BU","O","BU","OU","2","2","IAND","(i,j)"
"195","Index","INDEX","Same","Ttb","Index","T","T","SUBSCRIPT","SUBSCRIPT","2","3","OK","f9	(string,substr,[back])"
